file,status,concern_count,concerns
core.extension.yml,text,0,
database-exports/dumps/.gitignore,text,0,
database-exports/export_amisafe_data.sh,text,1,hardcoded_password
database-exports/README.md,text,0,
database-exports/restore_amisafe_data.sh,text,1,hardcoded_password
database-exports/restore_chunks.sh,text,1,hardcoded_password
database-exports/split_backup.sh,text,0,
database-exports/.temp_restore/amisafe_clean_incidents_batch_start,unknown-textlike,0,
database-exports/.temp_restore/import_active,unknown-textlike,0,
database-exports/.temp_restore/monitor_amisafe_clean_incidents.pid,unknown-textlike,0,
database-exports/.temp_restore/monitor_amisafe_clean_incidents.sh,text,1,hardcoded_password
DCC-0259-ANALYSIS.md,text,0,
DEPLOYMENT_STEPS.md,text,0,
.deploy-trigger,unknown-textlike,0,
DESIGN_STUBS_README.md,text,0,
docs/ARCHITECTURE.md,text,0,
docs/dungeoncrawler/01-character-creation-process.md,text,0,
docs/dungeoncrawler/02-combat-encounter-mechanics.md,text,0,
docs/dungeoncrawler/03-action-system.md,text,0,
docs/dungeoncrawler/04-skill-checks.md,text,0,
docs/dungeoncrawler/05-spellcasting-process.md,text,0,
docs/dungeoncrawler/06-leveling-up-process.md,text,0,
docs/dungeoncrawler/database-schema-design.md,text,0,
docs/dungeoncrawler/game-architecture-ecs-design.md,text,0,
docs/dungeoncrawler/issues/combat-action-validation.md,text,0,
docs/dungeoncrawler/issues/combat-api-endpoints.md,text,1,http_plaintext_url
docs/dungeoncrawler/issues/combat-database-schema.md,text,0,
docs/dungeoncrawler/issues/combat-engine-service.md,text,0,
docs/dungeoncrawler/issues/combat-state-machine.md,text,0,
docs/dungeoncrawler/issues/combat-ui-design.md,text,0,
docs/dungeoncrawler/issues/issue-1-character-class-hp-design.md,text,0,
docs/dungeoncrawler/issues/issue-2-hexmap-rendering-design.md,text,2,innerhtml_injection;http_plaintext_url
docs/dungeoncrawler/issues/issue-3-game-content-system-design.md,text,1,http_plaintext_url
docs/dungeoncrawler/issues/issue-4-combat-encounter-system-design.md,text,0,
docs/dungeoncrawler/issues/issue-4-enhanced-character-sheet-design.md,text,0,
docs/dungeoncrawler/issues/issue-4-procedural-dungeon-generation-design.md,text,0,
docs/dungeoncrawler/issues/issue-testing-strategy-design.md,text,1,http_plaintext_url
docs/dungeoncrawler/issues/README.md,text,0,
